#{"t_start": 1733292345.6618145, "env_id": "LunarLander-v3"}
r,l,t
-113.207825,72,598.469737
-23.269945,62,599.753708
-56.643387,83,601.501432
-193.993188,71,602.968068
-78.336666,93,604.890287
-92.317383,70,606.404155
-61.888743,108,608.277
-56.528937,104,610.107188
-36.412582,79,611.706018
-25.264126,106,613.788444
-26.357889,70,615.221814
-82.194536,71,616.66678
-74.936435,86,618.475799
-59.750317,70,619.962125
-66.264937,76,621.545076
-96.647283,89,623.38536
-74.50299,100,625.562609
-55.825554,93,627.431141
-35.991875,114,629.584608
-65.229718,96,631.174527
-47.144379,92,632.857619
-128.003161,52,633.726962
-58.680223,92,635.546024
-46.527709,71,636.946149
-115.234081,57,637.998531
-38.621427,87,639.579182
-48.333395,93,641.453413
-57.458078,66,642.846095
5.507923,117,645.009594
-21.871175,123,647.147644
-84.869383,87,648.756427
-44.199273,90,650.488027
-51.96505,112,652.559711
-69.16602,71,653.824932
-55.362883,86,655.479863
-56.946066,68,656.795848
-31.552231,98,658.642925
-92.709152,82,660.185329
-64.759318,108,662.355081
-52.131365,96,664.244356
-54.518131,71,665.69819
-33.358537,81,667.254289
-103.679266,77,668.79407
-2.664833,77,670.195258
-62.815455,108,672.182517
-125.241362,85,673.87482
-128.428917,71,675.364817
-41.673291,105,677.493349
-40.267972,97,679.090103
-80.884128,98,680.754994
-33.515195,99,682.346479
-10.854346,85,683.739212
-62.829602,90,685.468255
-45.376444,65,686.697263
-44.82231,70,688.312757
-32.375663,136,690.809696
-48.694137,80,692.569546
-83.092463,90,694.39045
-79.92251,90,696.353945
-115.023368,74,697.612946
-41.374607,109,699.786804
-77.106063,82,701.493505
-67.650232,81,703.005548
-57.18102,128,705.646663
-118.628444,63,707.128015
-9.893243,101,709.137332
-100.178943,85,711.004838
-71.846794,105,713.275091
-12.39516,99,715.10015
-3.355849,79,716.580709
-74.73746,104,718.797363
-44.721342,89,720.658497
-58.132753,86,722.249309
-60.273227,88,724.130424
11.003849,81,725.556137
-48.959811,104,727.619269
-94.145698,81,729.31205
-59.697943,112,731.497497
-37.723258,91,733.252131
-50.687088,94,735.031533
-197.418169,75,736.590044
-48.402212,95,738.46429
-66.82887,107,740.42939
-56.057153,100,742.481842
-134.069135,101,744.522861
18.920723,101,746.345262
-57.708056,105,748.046717
-4.119263,84,749.518552
-125.039985,74,750.91952
-107.253891,105,752.952289
-44.896528,101,754.789054
-27.537212,70,756.357389
-58.827137,80,757.989673
-88.465736,97,759.888376
-52.542183,96,761.865603
-24.516548,124,764.062514
-4.205072,115,766.061256
-77.463946,126,768.214771
-72.782221,72,769.298429
-44.73989,98,771.198585
-25.085339,122,773.513864
-71.952195,66,774.76857
-24.64149,64,776.003297
-21.800674,87,777.593023
-60.479253,117,779.652942
-0.747664,118,781.622822
-77.594718,115,783.921791
-11.7506,126,786.149807
23.313146,107,788.14575
-56.387424,78,789.615468
24.123101,147,792.070014
-45.947739,101,793.934309
-123.973852,160,796.391494
-105.445914,82,797.919809
-81.774634,112,799.966358
38.697247,134,802.148978
29.42528,126,804.28755
-89.851684,114,806.293553
-209.809798,234,809.943514
-35.197457,94,811.417252
-43.365421,349,817.102224
-26.739571,80,818.41819
-129.664615,83,820.042004
-35.146043,94,821.657542
-149.206055,69,823.003056
-39.421237,131,825.161276
-21.888508,114,827.193868
-112.668502,63,828.209398
-63.788872,313,833.074104
-183.556666,217,836.241195
-37.196884,102,837.659577
10.93642,130,839.709498
-111.932049,78,841.314681
27.113441,110,843.242692
27.297081,128,845.27138
-65.786182,117,847.07067
6.393141,145,849.095497
-70.604119,60,850.076091
-15.564435,88,851.55182
-26.582715,92,853.238951
-67.790434,81,854.558464
-100.615571,298,859.055251
-47.7654,76,860.352305
-13.279519,124,862.387486
-32.316262,119,864.163009
13.651181,162,866.611918
-29.18496,98,868.115104
2.676732,93,869.389563
-86.428378,55,870.50756
-112.688262,1000,885.698728
34.802705,124,887.737729
-61.978767,113,889.628985
-8.744421,137,892.013965
-200.645361,64,893.072115
-10.613154,128,894.910876
-55.979539,117,896.842844
-171.77915,156,899.362044
-3.367799,119,901.00992
-68.668433,1000,915.221316
-49.807392,1000,929.407465
-27.061579,1000,943.347372
-68.519539,1000,956.522026
14.624132,92,957.610766
-67.164965,81,958.852944
-41.678473,1000,972.314418
-168.558934,241,975.979122
-113.208534,186,978.547458
2.872507,402,983.898106
-36.976348,1000,998.827661
-85.929732,1000,1011.322391
-81.439677,1000,1023.722486
30.250069,155,1025.86742
-15.565217,1000,1036.606944
-39.789766,1000,1047.944469
-84.563232,156,1049.36675
-96.56449,1000,1059.543223
-99.411588,1000,1070.655291
-179.204257,705,1077.588132
-117.469424,1000,1086.993718
204.090976,709,1093.528956
206.093847,647,1099.345342
236.785127,558,1104.340354
190.735618,538,1109.605596
-27.393724,1000,1118.61978
-24.227351,1000,1127.575325
-62.902098,1000,1135.693495
-50.555844,1000,1143.712084
-97.319948,151,1144.895261
274.356818,321,1147.600376
-9.860636,1000,1156.20303
-29.398954,1000,1163.922969
-5.41071,1000,1171.605114
-0.7628,1000,1179.546698
11.154198,1000,1188.040902
14.390438,1000,1195.820328
-35.139382,1000,1203.934873
264.559304,347,1206.674457
279.651162,273,1209.068851
163.470598,683,1214.695223
223.701663,418,1218.151022
-409.527907,890,1225.940607
-3.808377,1000,1234.716887
-10.142505,1000,1242.476893
276.661748,254,1244.550626
-158.272064,660,1250.377098
-271.873293,514,1254.580901
-156.343761,465,1258.698256
219.455985,430,1262.131137
203.019886,539,1266.489964
203.548661,593,1271.200265
232.53344,360,1273.774114
237.832805,504,1277.553507
257.350024,347,1280.122467
132.185906,922,1287.159142
222.060123,379,1290.119892
264.938182,548,1294.166937
31.430082,155,1295.525949
9.711972,123,1296.636759
160.333249,951,1303.863441
120.115446,946,1310.441066
189.262465,495,1313.818084
